obs,Dept_Aircraft__
1948,29676
1949,32360
1950,35721
1951,32719
1952,32805
1953,31706
1954,34965
1955,38436
1956,45140
1957,48232
1958,55637
1959,59903
1960,73504
1961,80041
1962,87340
1963,96167
1964,108377
1965,119680
1966,136860
1967,152120
1968,174103
1969,188650
1970,215493
1971,229318
1972,239731
1973,223109
1974,218458
1975,212350
1976,214398
1977,211303
1978,203807
1979,201010
1980,201612
1981,192858
1982,203643
1983,210745
1984,215139
1985,219206
1986,228838
1987,249513
1988,283472
1989,304883
1990,320192
1991,317113
1992,342142
1993,348726
1994,359186
1995,384074
1996,430675
1997,465957
1998,506311
1999,571998
2000,623453.991620247
2001,618841.746057072
2002,608131.634198293
2003,632351.596964575
2004,631653.101337169
2005,647831.136848161
2006,683508.565655288
2007,741344.534158429
2008,708752.873160366
2009,674798.938850093
2010,691979.9841636
2011,694328.012338529
2012,671490.971079241
2013,631903.626842165
2014,640722.634307801
