obs,l_Dept_Aircraft__
1948,10.2980939173094
1949,10.3846783711724
1950,10.4834940301193
1951,10.3957112279025
1952,10.398336221779
1953,10.3642612164032
1954,10.462102840138
1955,10.5567497993972
1956,10.7175240503715
1957,10.7837779801692
1958,10.9266037265392
1959,11.0004818663219
1960,11.2050951054888
1961,11.2902942823727
1962,11.3775638270396
1963,11.4738415424607
1964,11.5933711683532
1965,11.6925767932083
1966,11.8267137845065
1967,11.9324249620422
1968,12.067402357084
1969,12.1476487253925
1970,12.2806837053998
1971,12.342864965547
1972,12.3872727403874
1973,12.3154157202614
1974,12.2943490553616
1975,12.2659911357414
1976,12.2755893797771
1977,12.2610484013264
1978,12.2249287465803
1979,12.2111099370474
1980,12.2141003372174
1981,12.1697094457939
1982,12.2241237397875
1983,12.2584041507903
1984,12.2790396098391
1985,12.2977672059442
1986,12.3407696086135
1987,12.4272662970248
1988,12.5548686318402
1989,12.6276833754364
1990,12.6766760948479
1991,12.6670134562172
1992,12.7429811345495
1993,12.7620417925454
1994,12.7915956391495
1995,12.8585905213373
1996,12.9731090243146
1997,13.0518486341721
1998,13.1349063839712
1999,13.2568907738523
2000,13.3430302508748
2001,13.335604858329
2002,13.3181466411304
2003,13.357200842749
2004,13.3560956321443
2005,13.3813853500909
2006,13.4349944671163
2007,13.516220754597
2008,13.4712621878577
2009,13.4221700571128
2010,13.4473123095624
2011,13.450699768087
2012,13.4172558489567
2013,13.3564921723275
2014,13.3703519344696
